"","plotID","lastInvYr","lastInvYrSD","priSpecies","secSpecies","priSpeciesName","secSpeciesName","owner","ownerCD","volPerAcre","SI","dominantTreeAge","dominantTreeheight","estDomSpAge"
"92",22931852010497,2008,0,11,NA,"Ponderosa and Jeffrey pines",NA,"Forest Service",10,655.453638567924,88,44,57,50.8484084341874
"93",22953417010497,2007,0,12,14,"True fir","Sugar pine","Forest Service",10,3591.69672429319,58,NA,109,NA
"94",22953418010497,2007,0,20,11,"Incense-cedar","Ponderosa and Jeffrey pines","Private and Native American",40,1838.11971554474,28,NA,115,NA
"95",22953455010497,2007,0,12,10,"True fir","Douglas-fir","Private and Native American",40,3580.79325405827,50,NA,91,NA
"96",22953479010497,2007,0,21,12,"Lodgepole pine","True fir","Other Federal",20,10905.3140420479,23,172,104,NA
"97",22953498010497,2007,0,46,11,"Oak","Ponderosa and Jeffrey pines","Forest Service",10,1061.21914555767,40,NA,59,123.128439851076
"98",22953501010497,2007,0,11,20,"Ponderosa and Jeffrey pines","Incense-cedar","Private and Native American",40,2143.83042386379,95,NA,113,49.671098860462
"99",22953505010497,2007,0,12,11,"True fir","Ponderosa and Jeffrey pines","Private and Native American",40,6409.45363942838,77,NA,85,59.9500046133232
"100",22953524010497,2007,0,11,NA,"Ponderosa and Jeffrey pines",NA,"Forest Service",10,2552.16711587587,60,135,112,48.8718272103666
"101",22953525010497,2007,0,11,24,"Ponderosa and Jeffrey pines","Other western softwoods","Forest Service",10,1773.60006272825,36,117,92,48.365265967187
"102",22953526010497,2007,0,11,NA,"Ponderosa and Jeffrey pines",NA,"Forest Service",10,3024.44024550334,67,345,123,48.8947607264351
"103",22953527010497,2007,0,11,20,"Ponderosa and Jeffrey pines","Incense-cedar","Forest Service",10,610.32703210524,34,NA,88,48.3465905411403
"104",22953534010497,2007,0,12,11,"True fir","Ponderosa and Jeffrey pines","Forest Service",10,2445.32458700993,30,NA,80,NA
"105",22953539010497,2007,0,11,24,"Ponderosa and Jeffrey pines","Other western softwoods","Forest Service",10,1588.2963706783,58,NA,103,48.9609335355657
"106",22953544010497,2007,0,11,20,"Ponderosa and Jeffrey pines","Incense-cedar","Forest Service",10,2156.96614344127,37,NA,117,48.0168470810421
"107",22953546010497,2007,0,11,12,"Ponderosa and Jeffrey pines","True fir","Private and Native American",40,927.469468219074,87,NA,52,51.0104071508015
"108",22953567010497,2007,0,11,48,"Ponderosa and Jeffrey pines","Woodland hardwoods","Forest Service",10,2887.15882201427,70,101,98,49.3779525685428
"168",29880144010497,2009,0,11,NA,"Ponderosa and Jeffrey pines",NA,"Forest Service",10,2137.96303068937,73,NA,98,49.453181098552
"169",29880213010497,2009,0,11,NA,"Ponderosa and Jeffrey pines",NA,"Forest Service",10,258.688102492308,75,NA,30,51.8533401826398
"170",29880535010497,2009,0,24,11,"Other western softwoods","Ponderosa and Jeffrey pines","Forest Service",10,588.014761133718,66,NA,37,NA
"171",29880540010497,2009,0,11,NA,"Ponderosa and Jeffrey pines",NA,"Forest Service",10,3328.13059374678,87,NA,88,49.9782638183697
"172",29880731010497,2009,0,48,12,"Woodland hardwoods","True fir","Forest Service",10,1238.88504514807,46,NA,46,NA
"173",29880892010497,2009,0,15,12,"Western white pine","True fir","Forest Service",10,513.213173643168,64,NA,84,NA
"174",29880898010497,2009,0,12,15,"True fir","Western white pine","Other Federal",20,9580.61950821691,49,386,193,NA
"175",29880960010497,2009,0,21,11,"Lodgepole pine","Ponderosa and Jeffrey pines","Forest Service",10,4133.4517567748,87,122,89,NA
"176",29880965010497,2009,0,12,11,"True fir","Ponderosa and Jeffrey pines","Forest Service",10,4059.81738217762,42,NA,97,NA
"177",29880966010497,2009,0,11,12,"Ponderosa and Jeffrey pines","True fir","Private and Native American",40,1578.93138344424,82,NA,80,50.0469172168616
"178",29880972010497,2009,0,11,NA,"Ponderosa and Jeffrey pines",NA,"Other Federal",20,1147.98687624586,119,NA,57,51.484667972406
"179",29881275010497,2009,0,11,12,"Ponderosa and Jeffrey pines","True fir","Forest Service",10,2427.16801936015,33,NA,104,48.0291166459279
"180",29881294010497,2009,0,48,11,"Woodland hardwoods","Ponderosa and Jeffrey pines","Forest Service",10,617.527529927588,63,NA,18,NA
"181",29881347010497,2009,0,11,12,"Ponderosa and Jeffrey pines","True fir","Private and Native American",40,3354.31130752608,79,214,117,49.2713444748398
"182",29881357010497,2009,0,12,14,"True fir","Sugar pine","Forest Service",10,6150.54522670168,34,282,140,NA
"183",29881361010497,2009,0,11,24,"Ponderosa and Jeffrey pines","Other western softwoods","Private and Native American",40,4413.24750732151,37,NA,72,48.8191782884045
"184",30761666020004,2012,0,12,11,"True fir","Ponderosa and Jeffrey pines","Forest Service",10,4474.93817944849,37,148,84,NA
"185",30761667020004,2012,0,12,11,"True fir","Ponderosa and Jeffrey pines","Private and Native American",40,1450.95459169829,44,NA,80,NA
"186",30761671020004,2012,0,12,20,"True fir","Incense-cedar","Private and Native American",40,839.769433485106,37,61,30,36.1288665627891
"187",30761672020004,2012,0,12,14,"True fir","Sugar pine","Private and Native American",40,2931.25431897027,41,107,100,NA
"188",30761912020004,2012,0,12,11,"True fir","Ponderosa and Jeffrey pines","Forest Service",10,7763.83917239084,46,NA,90,NA
"189",30761914020004,2012,0,11,12,"Ponderosa and Jeffrey pines","True fir","Private and Native American",40,851.598259190056,36,93,78,48.6389205792909
"190",30761916020004,2012,0,11,24,"Ponderosa and Jeffrey pines","Other western softwoods","Private and Native American",40,2778.98076958801,102,NA,121,49.6747472487211
"191",30761919020004,2012,0,11,12,"Ponderosa and Jeffrey pines","True fir","Forest Service",10,2453.12825150167,50,52,66,49.4915439990789
"192",30761920020004,2012,0,11,24,"Ponderosa and Jeffrey pines","Other western softwoods","Forest Service",10,2777.44183748152,40,NA,90,48.5722611553489
"193",30761922020004,2012,0,11,20,"Ponderosa and Jeffrey pines","Incense-cedar","Private and Native American",40,3617.85658044401,32,63,51,49.1614733174172
"194",30761923020004,2012,0,48,11,"Woodland hardwoods","Ponderosa and Jeffrey pines","Forest Service",10,980.461625528342,49,NA,NA,NA
"195",30761926020004,2012,0,11,20,"Ponderosa and Jeffrey pines","Incense-cedar","Forest Service",10,2533.35438067169,36,NA,113,48.0305770539998
"196",30761927020004,2012,0,11,NA,"Ponderosa and Jeffrey pines",NA,"Forest Service",10,3092.66188297436,54,180,100,48.8911390022122
"197",30761928020004,2012,0,48,11,"Woodland hardwoods","Ponderosa and Jeffrey pines","Forest Service",10,1803.33548389174,53,NA,NA,NA
"198",30761929020004,2012,0,12,11,"True fir","Ponderosa and Jeffrey pines","Forest Service",10,7706.54362533281,35,NA,145,NA
"199",30761930020004,2012,0,12,10,"True fir","Douglas-fir","Private and Native American",40,3298.45143162268,26,NA,101,NA
"200",40218601010497,2010,0,12,11,"True fir","Ponderosa and Jeffrey pines","Forest Service",10,2163.85832434679,42,NA,57,167.178792256004
"201",40218660010497,2010,0,11,12,"Ponderosa and Jeffrey pines","True fir","Private and Native American",40,1556.20849545589,85,NA,113,49.4666808988889
"202",40218668010497,2010,0,12,NA,"True fir",NA,"Private and Native American",40,926.0915222445,67,NA,63,45.3127709852413
"203",40218686010497,2010,0,11,NA,"Ponderosa and Jeffrey pines",NA,"Forest Service",10,510.49149416211,78,73,62,50.4406188837031
"204",40218687010497,2010,0,12,11,"True fir","Ponderosa and Jeffrey pines","Private and Native American",40,5673.8337930573,51,NA,73,NA
"205",40218694010497,2010,0,11,NA,"Ponderosa and Jeffrey pines",NA,"Private and Native American",40,455.63237097669,59,29,48,50.3923291313644
"206",40218707010497,2010,0,12,11,"True fir","Ponderosa and Jeffrey pines","Forest Service",10,5196.31043091408,57,NA,122,NA
"207",40218714010497,2010,0,12,11,"True fir","Ponderosa and Jeffrey pines","Private and Native American",40,322.245071453252,43,NA,46,56.711826166949
"208",40218720010497,2010,0,12,11,"True fir","Ponderosa and Jeffrey pines","Forest Service",10,4820.40327736383,46,NA,89,NA
"209",40218740010497,2010,0,11,20,"Ponderosa and Jeffrey pines","Incense-cedar","Private and Native American",40,1994.60218826521,92,NA,82,50.2209965021507
"210",40218741010497,2010,0,11,12,"Ponderosa and Jeffrey pines","True fir","Private and Native American",40,2046.32257254485,66,NA,59,50.2123337788378
"211",40218745010497,2010,0,20,11,"Incense-cedar","Ponderosa and Jeffrey pines","Forest Service",10,1766.60964523929,34,NA,50,NA
"212",40218751010497,2010,0,20,48,"Incense-cedar","Woodland hardwoods","Private and Native American",40,989.936122912804,36,281,77,NA
"213",40218765010497,2010,0,20,11,"Incense-cedar","Ponderosa and Jeffrey pines","Private and Native American",40,2927.45032428081,33,99,50,NA
"214",40218792010497,2010,0,11,24,"Ponderosa and Jeffrey pines","Other western softwoods","Forest Service",10,4423.87628178649,46,NA,100,48.6237438900785
"215",40218799010497,2010,0,11,NA,"Ponderosa and Jeffrey pines",NA,"Forest Service",10,0,89,NA,NA,NA
"216",40218812010497,2010,0,24,48,"Other western softwoods","Woodland hardwoods","Forest Service",10,854.962663326508,34,103,77,NA
"217",44540702020004,2013,0,11,NA,"Ponderosa and Jeffrey pines",NA,"Forest Service",10,1522.12195734902,78,NA,74,50.0999562211517
"218",44540717020004,2013,0,11,12,"Ponderosa and Jeffrey pines","True fir","Private and Native American",40,2672.3524519225,97,NA,59,50.9789936734197
"219",44540771020004,2013,0,11,NA,"Ponderosa and Jeffrey pines",NA,"Private and Native American",40,4732.37705835974,69,NA,70,49.9729264526818
"220",44540846020004,2013,0,11,NA,"Ponderosa and Jeffrey pines",NA,"Private and Native American",40,5233.4667364548,59,NA,102,49.0073235688805
"221",44540926020004,2013,0,11,48,"Ponderosa and Jeffrey pines","Woodland hardwoods","Forest Service",10,9242.6188119183,56,NA,127,48.5393493588666
"222",44541362020004,2013,0,21,12,"Lodgepole pine","True fir","Forest Service",10,6124.37043015666,64,NA,87,NA
"223",44541456020004,2013,0,11,NA,"Ponderosa and Jeffrey pines",NA,"Private and Native American",40,2483.21321088725,64,NA,95,49.2751591068074
"224",44542688020004,2013,0,48,47,"Woodland hardwoods","Other western hardwoods","Forest Service",10,107.878725288072,74,NA,NA,NA
"225",44542837020004,2013,0,11,21,"Ponderosa and Jeffrey pines","Lodgepole pine","Private and Native American",40,2303.53401992392,85,NA,102,49.6567560147471
"226",44543204020004,2013,0,12,11,"True fir","Ponderosa and Jeffrey pines","Forest Service",10,5971.66435418782,50,NA,127,NA
"227",44543531020004,2013,0,24,11,"Other western softwoods","Ponderosa and Jeffrey pines","Private and Native American",40,74.890471518416,87,NA,NA,NA
"228",44543660020004,2013,0,48,24,"Woodland hardwoods","Other western softwoods","Forest Service",10,1077.30795874401,67,NA,NA,NA
"229",48203404010497,2011,0,11,NA,"Ponderosa and Jeffrey pines",NA,"Forest Service",10,1223.21575916421,96,72,65,50.7624643580819
